month,track_id,spotify_streams,spotify_revenue,youtube_streams,youtube_revenue,apple_streams,apple_revenue,publishing_revenue,neighboring_rights_revenue,sync_revenue,other_revenue,total_revenue
2024-06,TRK_M_025,91613,183.23,272280,544.56,48707,97.42,87.72,19.37,0.0,26.8,959.0999999999999
2024-06,TRK_M_026,82504,165.01,227947,455.89,39533,79.07,72.85,17.53,0.0,21.85,812.2
2024-06,TRK_M_027,56881,113.76,139965,279.93,26845,53.69,48.8,10.8,0.0,15.4,522.38
2024-06,TRK_M_028,70695,141.39,208842,417.69,37338,74.68,79.62,13.93,0.0,20.0,747.31
2024-06,TRK_M_029,34186,68.37,103486,206.97,16966,33.93,40.63,7.3,0.0,10.93,368.13000000000005
2024-06,TRK_M_030,43464,86.93,105012,210.03,21638,43.28,44.72,8.38,0.0,12.39,405.73
2024-07,TRK_M_001,1305158,2610.32,3595164,7190.33,661171,1322.34,1389.44,252.56,0.0,382.72,13147.71
2024-07,TRK_M_002,1193278,2386.56,3081855,6163.71,604387,1208.77,1253.11,233.56,0.0,363.56,11609.27
2024-07,TRK_M_003,694414,1388.83,1908613,3817.23,372109,744.22,739.51,140.43,0.0,225.99,7056.21
2024-07,TRK_M_004,76549,153.1,220338,440.68,36928,73.86,77.03,15.52,0.0,23.74,783.93
2024-07,TRK_M_005,34912,69.82,95106,190.21,15833,31.67,35.11,7.09,0.0,10.83,344.72999999999996
2024-07,TRK_M_006,25651,51.3,59483,118.97,10792,21.58,23.43,4.63,0.0,6.91,226.81999999999996
2024-07,TRK_M_007,67450,134.9,163628,327.26,30025,60.05,64.83,12.99,0.0,18.71,618.74
2024-07,TRK_M_008,72961,145.92,185031,370.06,33824,67.65,68.59,15.24,0.0,20.63,688.09
2024-07,TRK_M_009,46155,92.31,126166,252.33,19986,39.97,45.57,8.44,0.0,12.23,450.85
2024-07,TRK_M_010,89792,179.59,246637,493.28,41148,82.3,90.52,19.18,0.0,27.46,892.3299999999999
2024-07,TRK_M_011,74300,148.6,207261,414.52,40149,80.3,80.51,14.17,0.0,22.63,760.7299999999999
2024-07,TRK_M_012,55608,111.22,152104,304.21,28687,57.37,62.45,10.69,0.0,18.32,564.2600000000001
2024-07,TRK_M_013,43351,86.7,134452,268.9,24147,48.3,48.67,8.61,0.0,14.83,476.01
2024-07,TRK_M_014,34179,68.36,83904,167.81,15236,30.47,33.54,7.21,0.0,9.71,317.09999999999997
2024-07,TRK_M_015,86114,172.23,214028,428.06,38894,77.79,85.73,17.79,0.0,24.74,806.3399999999999
2024-07,TRK_M_016,58215,116.43,143739,287.48,26875,53.75,55.02,9.71,0.0,16.67,539.0600000000001
2024-07,TRK_M_017,10436,20.87,25967,51.93,4793,9.59,9.86,2.05,0.0,2.75,97.05
2024-07,TRK_M_018,39376,78.75,121315,242.63,19330,38.66,45.9,7.96,0.0,12.91,426.80999999999995
2024-07,TRK_M_019,84365,168.73,234208,468.42,39409,78.82,76.06,15.98,0.0,21.53,829.54
2024-07,TRK_M_020,21105,42.21,53974,107.95,9169,18.34,19.75,4.25,0.0,5.98,198.48
2024-07,TRK_M_021,19994,39.99,60475,120.95,9882,19.77,20.57,4.63,0.0,6.3,212.21
2024-07,TRK_M_022,54773,109.55,150477,300.96,25309,50.62,49.77,11.32,0.0,17.22,539.44
2024-07,TRK_M_023,67584,135.17,186084,372.17,34458,68.92,68.71,12.58,0.0,21.07,678.6200000000001
2024-07,TRK_M_024,76494,152.99,206215,412.43,38199,76.4,69.69,15.2,0.0,21.99,748.7
2024-07,TRK_M_025,83661,167.32,232892,465.79,36632,73.27,81.56,15.74,0.0,25.11,828.7900000000001
2024-07,TRK_M_026,76606,153.21,209373,418.75,37975,75.95,76.74,13.84,0.0,22.1,760.5900000000001
2024-07,TRK_M_027,49124,98.25,135731,271.46,25006,50.01,56.89,11.69,0.0,17.75,506.04999999999995
2024-07,TRK_M_028,79849,159.7,190591,381.18,38214,76.43,69.01,14.94,0.0,23.66,724.92
2024-07,TRK_M_029,33492,66.98,103435,206.87,16922,33.85,33.88,7.39,0.0,11.35,360.32000000000005
2024-07,TRK_M_030,42953,85.91,117265,234.53,20459,40.92,47.12,8.46,0.0,12.67,429.61
2024-08,TRK_M_001,1722960,3445.92,4743634,9487.27,866166,1732.33,1563.15,344.91,0.0,507.61,17081.190000000002
2024-08,TRK_M_002,1175733,2351.47,3578493,7156.99,598550,1197.1,1346.38,251.39,0.0,344.21,12647.539999999997
2024-08,TRK_M_003,625782,1251.56,1987214,3974.43,360732,721.46,711.88,149.68,0.0,216.28,7025.29
2024-08,TRK_M_004,80586,161.17,224090,448.18,40299,80.6,77.94,15.45,0.0,21.13,804.4700000000001
2024-08,TRK_M_005,30609,61.22,83035,166.07,14026,28.05,32.99,6.4,0.0,9.57,304.29999999999995
2024-08,TRK_M_006,30043,60.09,83189,166.38,13871,27.74,31.7,6.43,0.0,9.36,301.70000000000005
2024-08,TRK_M_007,76880,153.76,203719,407.44,34531,69.06,64.79,13.29,0.0,22.63,730.9699999999999
2024-08,TRK_M_008,80428,160.86,213612,427.23,36050,72.1,82.26,14.84,0.0,24.13,781.4200000000001
2024-08,TRK_M_009,48738,97.48,138105,276.21,25816,51.63,49.51,9.92,0.0,14.45,499.2
2024-08,TRK_M_010,92373,184.75,297493,594.99,49532,99.06,105.38,19.92,0.0,29.65,1033.75
2024-08,TRK_M_011,92676,185.35,236415,472.83,43345,86.69,90.46,18.27,0.0,24.16,877.7599999999999
2024-08,TRK_M_012,59299,118.6,158341,316.68,30705,61.41,62.0,12.0,0.0,17.69,588.38
2024-08,TRK_M_013,48699,97.4,127434,254.87,23763,47.53,44.02,8.2,0.0,14.05,466.06999999999994
2024-08,TRK_M_014,44268,88.54,116505,233.01,22082,44.17,40.74,9.1,0.0,12.59,428.15000000000003
2024-08,TRK_M_015,68014,136.03,204398,408.8,40242,80.48,70.57,14.77,0.0,22.8,733.45
2024-08,TRK_M_016,48442,96.89,143799,287.6,22338,44.68,48.35,10.24,0.0,13.44,501.20000000000005
2024-08,TRK_M_017,12283,24.57,34228,68.46,6187,12.38,13.18,2.32,0.0,3.79,124.7
2024-08,TRK_M_018,46107,92.21,133236,266.47,25737,51.48,51.02,10.28,0.0,16.24,487.7
2024-08,TRK_M_019,92469,184.94,242096,484.19,44759,89.52,89.99,16.83,0.0,28.45,893.9200000000001
2024-08,TRK_M_020,23582,47.17,68178,136.36,12109,24.22,24.6,5.39,0.0,6.95,244.69
2024-08,TRK_M_021,21790,43.58,63338,126.68,12003,24.01,24.79,4.41,0.0,6.4,229.86999999999998
2024-08,TRK_M_022,59035,118.07,177222,354.44,32951,65.9,54.79,10.89,0.0,17.52,621.6099999999999
2024-08,TRK_M_023,64112,128.22,183296,366.59,29314,58.63,60.42,12.53,0.0,17.88,644.2699999999999
2024-08,TRK_M_024,70570,141.14,173257,346.51,34023,68.05,71.09,14.29,0.0,18.29,659.3699999999999
2024-08,TRK_M_025,108610,217.22,296972,593.94,51198,102.4,105.37,22.21,0.0,31.66,1072.8000000000002
2024-08,TRK_M_026,66874,133.75,204439,408.88,32741,65.48,72.04,12.59,0.0,20.57,713.3100000000001
2024-08,TRK_M_027,59444,118.89,161137,322.27,33733,67.47,58.05,12.25,0.0,20.09,599.02
2024-08,TRK_M_028,75623,151.25,251023,502.05,38746,77.49,91.65,15.39,0.0,26.07,863.9
2024-08,TRK_M_029,38041,76.08,106626,213.25,21364,42.73,40.0,7.89,0.0,12.22,392.17
2024-08,TRK_M_030,41994,83.99,124636,249.27,20036,40.07,40.28,8.23,0.0,11.68,433.52000000000004
2024-09,TRK_M_001,1401754,2803.51,4326225,8652.45,711190,1422.38,1530.97,286.94,0.0,424.79,15121.04
2024-09,TRK_M_002,1314055,2628.11,3384209,6768.42,609931,1219.86,1284.77,242.2,0.0,392.09,12535.450000000003
2024-09,TRK_M_003,1005459,2010.92,2289761,4579.52,503844,1007.69,860.54,199.64,0.0,264.33,8922.640000000001
2024-09,TRK_M_004,74342,148.69,247505,495.01,37028,74.06,85.3,16.62,0.0,25.33,845.01
2024-09,TRK_M_005,34431,68.86,104194,208.39,19164,38.33,33.41,7.34,0.0,11.49,367.82
2024-09,TRK_M_006,30878,61.76,76680,153.36,15812,31.63,28.78,5.93,0.0,9.48,290.94
2024-09,TRK_M_007,67105,134.21,191587,383.18,31428,62.86,65.53,12.88,0.0,20.14,678.8
2024-09,TRK_M_008,72237,144.47,217330,434.66,39675,79.35,76.88,16.09,0.0,21.05,772.5
2024-09,TRK_M_009,58164,116.33,170008,340.02,27509,55.02,53.4,11.14,0.0,17.48,593.39
2024-09,TRK_M_010,117922,235.84,266513,533.03,57684,115.37,105.38,23.02,0.0,31.12,1043.76
2024-09,TRK_M_011,92182,184.37,254340,508.68,48676,97.35,83.34,19.36,0.0,27.54,920.64
2024-09,TRK_M_012,66758,133.52,165971,331.94,35081,70.16,68.14,13.78,0.0,17.73,635.27
2024-09,TRK_M_013,51156,102.31,134548,269.1,23329,46.66,50.01,9.37,0.0,16.13,493.58000000000004
2024-09,TRK_M_014,41051,82.1,122270,244.54,23274,46.55,38.47,8.09,0.0,11.98,431.72999999999996
2024-09,TRK_M_015,96542,193.08,243988,487.98,43629,87.26,87.95,16.83,0.0,25.38,898.4800000000001
2024-09,TRK_M_016,51781,103.56,147119,294.24,23600,47.2,52.74,9.1,0.0,16.13,522.97
2024-09,TRK_M_017,14354,28.71,39431,78.86,6924,13.85,14.82,2.55,0.0,4.01,142.79999999999998
2024-09,TRK_M_018,50501,101.0,141706,283.41,27916,55.83,50.78,9.93,0.0,16.21,517.16
2024-09,TRK_M_019,91310,182.62,242422,484.85,45990,91.98,78.35,16.91,0.0,27.5,882.21
2024-09,TRK_M_020,25924,51.85,66368,132.74,11372,22.74,22.88,5.11,0.0,7.19,242.51000000000002
2024-09,TRK_M_021,25517,51.03,75332,150.67,14119,28.24,29.81,4.95,0.0,7.46,272.15999999999997
2024-09,TRK_M_022,72269,144.54,188287,376.57,34744,69.49,70.13,13.47,0.0,21.17,695.37
2024-09,TRK_M_023,61879,123.76,179228,358.46,32630,65.26,57.85,11.35,0.0,17.16,633.84
2024-09,TRK_M_024,87433,174.87,230895,461.79,42279,84.56,79.26,14.75,0.0,24.42,839.65
2024-09,TRK_M_025,103167,206.34,278606,557.21,45114,90.23,94.46,18.8,0.0,31.24,998.2800000000001
2024-09,TRK_M_026,97349,194.7,245588,491.18,45145,90.29,88.86,16.59,0.0,26.54,908.16
2024-09,TRK_M_027,66070,132.14,191374,382.75,34316,68.63,65.51,13.52,0.0,19.34,681.89
2024-09,TRK_M_028,91642,183.28,254430,508.86,46081,92.16,84.65,18.28,0.0,25.42,912.6499999999999
2024-09,TRK_M_029,42130,84.26,124590,249.18,25047,50.09,48.02,9.11,0.0,12.42,453.08
2024-09,TRK_M_030,42428,84.86,120635,241.27,22389,44.78,43.93,9.49,0.0,13.66,437.99
2024-10,TRK_M_001,1928249,3856.5,5187679,10375.36,853254,1706.51,1707.9,359.21,0.0,513.75,18519.23
2024-10,TRK_M_002,1325433,2650.87,3777490,7554.98,669453,1338.91,1544.34,254.07,0.0,418.55,13761.719999999998
2024-10,TRK_M_003,795288,1590.58,2142543,4285.09,470303,940.61,905.9,169.27,0.0,246.61,8138.0599999999995
2024-10,TRK_M_004,88285,176.57,230290,460.58,41321,82.64,88.46,17.56,0.0,24.31,850.1199999999999
2024-10,TRK_M_005,42547,85.09,121339,242.68,23243,46.49,40.0,9.19,0.0,12.47,435.92
2024-10,TRK_M_006,31382,62.77,75937,151.88,15478,30.96,28.93,6.38,0.0,8.74,289.66
2024-10,TRK_M_007,73246,146.49,210939,421.88,38025,76.05,79.83,14.06,0.0,24.13,762.4399999999999
2024-10,TRK_M_008,94514,189.03,265202,530.4,44330,88.66,91.19,17.89,0.0,30.55,947.7199999999999
2024-10,TRK_M_009,62109,124.22,175521,351.04,27637,55.28,59.3,12.32,0.0,18.8,620.9599999999999
2024-10,TRK_M_010,100961,201.92,298167,596.33,48652,97.31,107.93,20.02,0.0,31.03,1054.54
2024-10,TRK_M_011,84772,169.54,234638,469.28,41614,83.23,83.38,16.65,0.0,27.84,849.92
2024-10,TRK_M_012,61515,123.03,175174,350.35,31917,63.84,54.75,11.86,0.0,16.09,619.9200000000001
2024-10,TRK_M_013,49593,99.19,129651,259.3,24189,48.38,44.56,9.08,0.0,12.71,473.21999999999997
2024-10,TRK_M_014,46587,93.18,132619,265.24,22915,45.83,44.87,9.89,0.0,14.39,473.4
2024-10,TRK_M_015,75653,151.31,231526,463.05,38024,76.05,84.8,17.08,0.0,22.9,815.1899999999999
2024-10,TRK_M_016,52251,104.5,144571,289.14,27795,55.59,55.55,10.14,0.0,17.89,532.8100000000001
2024-10,TRK_M_017,11476,22.95,31443,62.89,5863,11.73,10.89,2.42,0.0,3.3,114.18
2024-10,TRK_M_018,54701,109.4,141178,282.36,27651,55.3,57.68,10.69,0.0,16.74,532.1700000000001
2024-10,TRK_M_019,91212,182.42,245540,491.08,42063,84.13,77.5,17.52,0.0,24.09,876.74
2024-10,TRK_M_020,25681,51.36,58640,117.28,11282,22.56,24.14,4.91,0.0,6.93,227.17999999999998
2024-10,TRK_M_021,27941,55.88,77756,155.51,13555,27.11,26.67,5.42,0.0,9.23,279.82000000000005
2024-10,TRK_M_022,63578,127.16,199508,399.02,33263,66.53,71.07,13.1,0.0,21.4,698.28
2024-10,TRK_M_023,78428,156.86,209775,419.55,36225,72.45,80.45,14.99,0.0,21.04,765.3400000000001
2024-10,TRK_M_024,80520,161.04,210261,420.52,35487,70.98,79.36,16.83,0.0,22.79,771.52
2024-10,TRK_M_025,114071,228.14,327802,655.6,52399,104.8,113.36,21.85,0.0,33.22,1156.9699999999998
2024-10,TRK_M_026,84524,169.05,234107,468.21,39300,78.6,92.29,16.97,0.0,23.44,848.5600000000001
2024-10,TRK_M_027,64733,129.47,173778,347.56,37154,74.31,66.53,13.13,0.0,22.01,653.0099999999999
2024-10,TRK_M_028,75590,151.18,199697,399.4,42554,85.11,75.82,16.21,0.0,22.13,749.85
2024-10,TRK_M_029,43034,86.07,106941,213.88,20035,40.07,42.29,8.79,0.0,11.06,402.16
2024-10,TRK_M_030,43607,87.22,129791,259.58,19718,39.44,42.09,8.86,0.0,13.77,450.9599999999999
2024-11,TRK_M_001,1656412,3312.82,4264421,8528.84,839132,1678.26,1614.99,284.75,0.0,480.55,15900.21
2024-11,TRK_M_002,1425371,2850.74,3634703,7269.41,647090,1294.18,1493.6,259.28,0.0,408.86,13576.070000000002
2024-11,TRK_M_003,847974,1695.95,2550811,5101.62,474563,949.13,809.09,173.2,0.0,235.06,8964.05
2024-11,TRK_M_004,92461,184.92,265924,531.85,48252,96.51,86.0,19.79,0.0,30.18,949.2499999999999
2024-11,TRK_M_005,44424,88.85,125617,251.23,20251,40.5,38.91,7.76,0.0,12.39,439.64
2024-11,TRK_M_006,36622,73.25,105581,211.16,18498,37.0,37.51,7.43,0.0,10.81,377.15999999999997
2024-11,TRK_M_007,77215,154.43,228772,457.55,38037,76.08,78.81,14.66,0.0,21.95,803.4800000000001
2024-11,TRK_M_008,78150,156.3,210076,420.15,37263,74.53,75.83,17.14,0.0,24.89,768.84
2024-11,TRK_M_009,55472,110.94,152343,304.69,26584,53.17,55.78,10.36,0.0,16.03,550.97
2024-11,TRK_M_010,150697,301.4,340259,680.52,70360,140.72,135.71,24.74,0.0,39.76,1322.85
2024-11,TRK_M_011,94510,189.02,238423,476.85,42503,85.01,87.12,16.96,0.0,28.14,883.1
2024-11,TRK_M_012,55881,111.76,159003,318.01,29465,58.93,51.3,11.31,0.0,15.36,566.67
2024-11,TRK_M_013,43078,86.16,120920,241.84,24467,48.94,43.04,9.88,0.0,13.21,443.07
2024-11,TRK_M_014,44048,88.1,121410,242.82,19722,39.45,40.22,8.94,0.0,12.58,432.1099999999999
2024-11,TRK_M_015,90450,180.9,239711,479.42,37811,75.62,81.47,15.25,0.0,26.02,858.6800000000001
2024-11,TRK_M_016,57665,115.33,159932,319.87,30640,61.28,61.62,13.21,0.0,19.67,590.98
2024-11,TRK_M_017,14955,29.91,36098,72.2,7112,14.22,14.51,2.76,0.0,4.03,137.63
2024-11,TRK_M_018,60051,120.1,179364,358.73,31993,63.99,57.4,10.8,0.0,17.56,628.5799999999999
2024-11,TRK_M_019,111003,222.01,294696,589.39,50552,101.1,110.17,20.99,0.0,30.89,1074.55
2024-11,TRK_M_020,22871,45.74,61937,123.87,11128,22.26,23.89,4.43,0.0,6.72,226.91
2024-11,TRK_M_021,28996,57.99,73004,146.01,12778,25.56,26.68,5.43,0.0,8.3,269.97
2024-11,TRK_M_022,74236,148.47,174264,348.53,30712,61.43,65.85,13.47,0.0,19.94,657.69
2024-11,TRK_M_023,53174,106.35,153807,307.62,31161,62.32,62.31,11.96,0.0,17.43,567.99
2024-11,TRK_M_024,83185,166.37,237665,475.33,41388,82.78,84.53,16.93,0.0,28.36,854.3
2024-11,TRK_M_025,100590,201.18,281403,562.81,50274,100.55,89.76,19.34,0.0,28.11,1001.75
2024-11,TRK_M_026,97592,195.19,249332,498.66,45715,91.43,89.64,18.76,0.0,30.66,924.3399999999999
2024-11,TRK_M_027,65293,130.59,183290,366.58,34259,68.52,74.82,15.25,0.0,22.38,678.14
2024-11,TRK_M_028,87548,175.1,276633,553.27,51569,103.14,98.72,17.91,0.0,30.61,978.75
2024-11,TRK_M_029,45421,90.84,118771,237.54,22506,45.01,45.05,9.03,0.0,11.63,439.09999999999997
2024-11,TRK_M_030,58282,116.56,162898,325.8,25750,51.5,53.59,12.21,0.0,17.33,576.9900000000001
2024-12,TRK_M_001,1683309,3366.62,5147989,10295.98,861058,1722.12,1814.12,315.68,0.0,467.64,17982.159999999996
2024-12,TRK_M_002,1865852,3731.71,4535818,9071.64,880049,1760.1,1646.38,361.89,0.0,584.38,17156.1
2024-12,TRK_M_003,1013238,2026.48,2754748,5509.5,429000,858.0,888.35,179.64,0.0,272.85,9734.82
2024-12,TRK_M_004,85450,170.9,258303,516.61,43472,86.95,80.4,17.31,0.0,25.04,897.2099999999999
2024-12,TRK_M_005,40730,81.46,111434,222.87,22769,45.54,41.58,8.49,0.0,13.01,412.95
2024-12,TRK_M_006,37020,74.04,92476,184.95,18607,37.22,35.44,7.58,0.0,9.63,348.86
2024-12,TRK_M_007,77131,154.26,195578,391.16,38786,77.57,64.75,14.47,0.0,20.3,722.51
2024-12,TRK_M_008,101187,202.38,241382,482.77,49386,98.77,86.98,19.27,0.0,25.15,915.3199999999999
2024-12,TRK_M_009,64847,129.69,193376,386.75,33624,67.25,60.78,13.33,0.0,20.8,678.6
2024-12,TRK_M_010,140530,281.06,352951,705.9,61681,123.36,128.56,26.13,0.0,40.17,1305.18
2024-12,TRK_M_011,86975,173.95,219556,439.11,44979,89.96,90.52,18.03,0.0,26.8,838.3699999999999
2024-12,TRK_M_012,70419,140.84,197838,395.68,37524,75.05,63.71,13.7,0.0,20.5,709.48
2024-12,TRK_M_013,48548,97.1,140058,280.12,22504,45.01,50.61,8.73,0.0,14.17,495.74000000000007
2024-12,TRK_M_014,45454,90.91,121234,242.47,24281,48.56,41.68,8.79,0.0,12.56,444.97
2024-12,TRK_M_015,100790,201.58,266123,532.25,52049,104.1,95.25,18.3,0.0,30.66,982.14
2024-12,TRK_M_016,68610,137.22,167561,335.12,32816,65.63,69.25,12.09,0.0,21.21,640.5200000000001
2024-12,TRK_M_017,12103,24.21,31084,62.17,6498,13.0,11.32,2.21,0.0,3.66,116.56999999999998
2024-12,TRK_M_018,56196,112.39,184530,369.06,33311,66.62,56.18,13.21,0.0,19.97,637.43
2024-12,TRK_M_019,94592,189.19,235209,470.42,48144,96.29,87.57,17.26,0.0,27.38,888.11
2024-12,TRK_M_020,27678,55.36,68341,136.68,12949,25.9,26.69,5.52,0.0,8.08,258.23
2024-12,TRK_M_021,28962,57.92,70361,140.72,14702,29.41,26.38,5.9,0.0,8.66,268.99
2024-12,TRK_M_022,66471,132.94,184247,368.5,27870,55.74,64.95,11.39,0.0,19.88,653.4
2024-12,TRK_M_023,75152,150.3,202011,404.02,41078,82.16,82.48,15.38,0.0,22.28,756.6199999999999
2024-12,TRK_M_024,74962,149.93,212003,424.01,40523,81.05,82.45,13.7,0.0,21.99,773.1300000000001
2024-12,TRK_M_025,93499,187.0,287424,574.85,46825,93.65,93.7,19.81,0.0,29.2,998.21
2024-12,TRK_M_026,118220,236.44,315757,631.52,57075,114.15,100.63,19.88,0.0,29.74,1132.3600000000001
2024-12,TRK_M_027,80101,160.2,226623,453.25,43314,86.63,96.36,17.34,0.0,24.7,838.4800000000001
2024-12,TRK_M_028,108202,216.41,247984,495.97,53112,106.22,99.35,18.47,0.0,30.83,967.2500000000001
2024-12,TRK_M_029,51198,102.4,133453,266.91,23215,46.43,45.24,9.23,0.0,13.95,484.1600000000001
2024-12,TRK_M_030,48082,96.17,121039,242.08,26012,52.03,51.55,9.78,0.0,14.06,465.66999999999996
2025-01,TRK_M_001,2031331,4062.66,6524379,13048.76,1059693,2119.39,2206.81,407.68,0.0,614.08,22459.38
2025-01,TRK_M_002,1980302,3960.6,4675455,9350.91,918504,1837.01,1914.39,352.41,0.0,506.12,17921.44
2025-01,TRK_M_003,943933,1887.87,2715511,5431.02,438902,877.8,996.77,177.56,0.0,263.77,9634.79
2025-01,TRK_M_004,108077,216.15,257817,515.64,51849,103.7,100.8,19.62,0.0,31.25,987.16
2025-01,TRK_M_005,39361,78.72,117161,234.32,21388,42.78,44.41,8.8,0.0,13.18,422.2099999999999
2025-01,TRK_M_006,39820,79.64,98184,196.37,18464,36.93,41.83,8.44,0.0,10.55,373.76
2025-01,TRK_M_007,78313,156.63,241620,483.24,40390,80.78,78.19,15.63,0.0,27.65,842.1199999999999
2025-01,TRK_M_008,95647,191.3,252055,504.11,47866,95.73,104.54,18.14,0.0,29.42,943.24
2025-01,TRK_M_009,62699,125.4,173009,346.02,32408,64.82,59.46,12.11,0.0,20.04,627.85
2025-01,TRK_M_010,111194,222.39,305299,610.6,61227,122.45,115.99,23.59,0.0,32.01,1127.03
2025-01,TRK_M_011,101348,202.7,318241,636.48,48946,97.89,111.5,21.53,0.0,30.45,1100.5500000000002
2025-01,TRK_M_012,65037,130.07,160157,320.31,29477,58.95,59.63,11.94,0.0,19.3,600.2
2025-01,TRK_M_013,51384,102.77,136347,272.7,26245,52.49,53.02,9.63,0.0,14.5,505.10999999999996
2025-01,TRK_M_014,51799,103.6,121853,243.71,25219,50.44,51.57,8.69,0.0,14.24,472.25
2025-01,TRK_M_015,93420,186.84,250706,501.41,40077,80.16,92.81,16.95,0.0,25.94,904.1100000000001
2025-01,TRK_M_016,55846,111.69,153378,306.76,28676,57.35,58.88,11.32,0.0,18.18,564.1800000000001
2025-01,TRK_M_017,13787,27.58,40358,80.72,6884,13.77,13.27,2.55,0.0,3.97,141.86
2025-01,TRK_M_018,50506,101.01,143065,286.13,27273,54.55,58.27,11.87,0.0,18.38,530.21
2025-01,TRK_M_019,113642,227.29,260096,520.19,49100,98.2,98.74,22.99,0.0,33.75,1001.1600000000001
2025-01,TRK_M_020,33834,67.67,89309,178.62,17602,35.21,33.04,6.4,0.0,9.16,330.1
2025-01,TRK_M_021,24865,49.73,67269,134.54,13065,26.13,23.49,5.26,0.0,7.29,246.43999999999997
2025-01,TRK_M_022,67480,134.96,175625,351.25,33382,66.76,62.75,12.39,0.0,17.37,645.48
2025-01,TRK_M_023,75659,151.32,189738,379.48,39149,78.3,75.37,14.48,0.0,24.57,723.52
2025-01,TRK_M_024,76924,153.85,220785,441.57,33725,67.45,73.69,14.47,0.0,22.76,773.79
2025-01,TRK_M_025,105911,211.82,280690,561.38,54695,109.39,96.01,20.54,0.0,30.11,1029.25
2025-01,TRK_M_026,100987,201.98,261738,523.48,55098,110.2,109.42,21.58,0.0,28.54,995.2
2025-01,TRK_M_027,89630,179.26,234308,468.62,37165,74.33,78.91,16.33,0.0,23.23,840.6800000000001
2025-01,TRK_M_028,86271,172.54,243757,487.51,41261,82.52,85.75,17.16,0.0,24.19,869.67
2025-01,TRK_M_029,42592,85.19,129077,258.15,19858,39.72,43.2,9.44,0.0,14.06,449.75999999999993
2025-01,TRK_M_030,61923,123.85,155183,310.37,27449,54.9,56.38,11.37,0.0,17.36,574.23
2025-02,TRK_M_001,2394146,4788.29,6574465,13148.93,1164059,2328.12,2100.34,409.36,0.0,643.41,23418.45
2025-02,TRK_M_002,1598207,3196.41,4343607,8687.21,927948,1855.9,1766.2,355.81,0.0,499.18,16360.71
2025-02,TRK_M_003,944186,1888.37,2651252,5302.5,540421,1080.84,992.86,193.54,0.0,283.33,9741.44
2025-02,TRK_M_004,83149,166.3,263158,526.32,50562,101.12,84.51,19.08,0.0,27.64,924.9700000000001
